1	1	1	4.1753448	250	4	95	0.6	3	0	0.7	4	0.1	0	0	0	0	1	0	0	0	1	0	0	1	1
1	2	0	4.1753448	250	4	95	0.6	3	0	0.7	4	0.1	0	0	0	0	0	0	0	0	1	0	0	1	1
1	3	0	4.8177056	400	6	110	0.25	2	0	1	6	0.3	0	0	0	0	1	0	0	0	0	1	0	1	0
1	4	0	4.8177056	400	6	110	0.25	2	0	1	6	0.3	0	0	1	0	0	0	0	0	0	1	0	1	0
1	5	0	5.1388859	250	2.5	140	0.5	3	0	1	8	1	0	0	0	0	1	0	0	0	0	0	0	1	1
1	6	0	5.1388859	250	2.5	140	0.5	3	0	1	8	1	0	0	0	1	0	0	0	0	0	0	0	1	1
2	7	0	3.3109468	125	2.5	85	0	3	1	0.7	4	0	0	0	0	0	0	1	1	1	0	0	0	0	1
2	8	1	3.3109468	125	2.5	85	0	3	1	0.7	4	0	0	0	0	0	1	1	1	1	0	0	0	0	1
2	9	0	3.586859	300	4	140	0.4	3	1	1	8	0.1	0	0	0	0	0	0	0	0	1	0	0	1	1
2	10	0	3.586859	300	4	140	0.4	3	1	1	8	0.1	0	0	1	0	0	0	0	0	1	0	0	1	1
2	11	0	4.4145957	300	6	95	0.25	2	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1
2	12	0	4.4145957	300	6	95	0.25	2	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	1	1
3	13	0	4.0395745	300	6	140	0.1	2	0	1	6	0.1	0	0	0	0	0	0	0	0	1	0	0	1	1
3	14	0	4.0395745	300	6	140	0.1	2	0	1	6	0.1	0	0	0	1	0	0	0	0	1	0	0	1	1
3	15	0	2.7772075	250	2.5	85	0.4	3	1	1	8	0.3	0	0	0	0	0	0	0	0	0	1	0	1	0
3	16	0	2.7772075	250	2.5	85	0.4	3	1	1	8	0.3	0	0	0	0	1	0	0	0	0	1	0	1	0
3	17	1	3.2821543	300	4	95	0.75	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1
3	18	0	3.2821543	300	4	95	0.75	3	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1
4	19	0	7.0659681	200	4	100	0	2	0	1	8	0	0	0	0	0	0	1	1	0	0	0	0	0	1
4	20	0	7.0659681	200	4	100	0	2	0	1	8	0	0	0	0	1	0	1	1	0	0	0	0	0	1
4	21	0	7.3871485	75	6	85	0.25	3	0	0.7	2	0.7	0	0	0	0	0	0	0	0	1	0	0	1	1
4	22	0	7.3871485	75	6	85	0.25	3	0	0.7	2	0.7	0	0	0	0	1	0	0	0	1	0	0	1	1
4	23	1	5.4600663	300	2.5	95	0.6	3	0	1	4	0.1	0	0	0	0	0	0	0	0	0	1	0	1	0
4	24	0	5.4600663	300	2.5	95	0.6	3	0	1	4	0.1	0	0	1	0	0	0	0	0	0	1	0	1	0
5	25	0	5.7941569	75	4	85	0.1	1	0	0.7	6	0.3	0	0	0	0	0	0	0	0	1	0	0	1	1
5	26	0	5.7941569	75	4	85	0.1	1	0	0.7	6	0.3	0	0	0	1	0	0	0	0	1	0	0	1	1
5	27	0	6.3459814	300	6	95	0.4	2	0	1	8	0.7	0	0	0	0	0	0	0	0	0	1	0	1	0
5	28	0	6.3459814	300	6	95	0.4	2	0	1	8	0.7	0	0	0	0	1	0	0	0	0	1	0	1	0
5	29	1	4.690508	350	2.5	110	0.75	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1
5	30	0	4.690508	350	2.5	110	0.75	3	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1
6	31	0	3.5329841	300	6	85	0.6	3	0	1	6	0.1	0	0	0	1	0	0	0	0	1	0	0	1	1
6	32	0	3.5329841	300	6	85	0.6	3	0	1	6	0.1	0	0	0	0	0	0	0	0	1	0	0	1	1
6	33	0	4.1753448	250	2.5	95	0.25	2	0	1	8	0.3	0	0	0	1	0	0	0	0	0	1	0	1	0
6	34	0	4.1753448	250	2.5	95	0.25	2	0	1	8	0.3	0	0	0	0	1	0	0	0	0	1	0	1	0
