mktid,prodid,price,sjt,s0t,x1_1,x1_2,x1_3,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,delta,firmid
1,1,5.89410528440421,0.0028768466306277,0.258113128584142,1,0.638777624788521,0.792876520803022,0.437815486226315,0.478247827433252,0.397455010961455,0.400379379983371,0.913802083297162,0.893740601021148,0.835034247438233,0.798772261913644,0.174011958877175,0.19148056862612,-4.49670319733614,1
1,2,4.07615645973066,0.0026634850099106,0.258113128584142,1,0.223674496251012,0.826897863795136,0.44196651751169,0.477907614003331,0.438965323815206,0.396977245684159,0.0742850019920642,0.816242744128471,0.0055182615209609,0.666252217342376,0.194007975474998,0.189718448298531,-4.573762552308,1
1,3,4.07629969986156,0.0004259849576311,0.258113128584142,1,0.169340011552217,0.159172726351081,0.442509862358678,0.484584865377772,0.444398772285085,0.463749759428565,0.471506647880115,0.947423316877752,0.222318518995143,0.897610941363641,0.196650839556239,0.224726114741665,-6.40674921576152,1
1,4,3.46226698519469,0.0017327493866351,0.258113128584142,1,0.390938781202662,0.014996009644011,0.440293874662174,0.486026632544843,0.422238895320041,0.478167431099272,0.360545959488487,0.240319764450138,0.129993388903474,0.0577535891853696,0.185909199253537,0.232402106329797,-5.00368858386793,1
1,5,4.08722479739547,0.0034981911463758,0.258113128584142,1,0.45901141916301,0.455758734763627,0.43961314828257,0.481619005293646,0.415431631524006,0.43409115858731,0.305593078505765,0.579700582815735,0.0933871296306306,0.336052765716902,0.182629207430433,0.209066552005587,-4.30115195212125,1
1,6,4.18355926330476,0.0630632452961909,0.258113128584142,1,0.845442994771728,0.890234243195967,0.435748832526483,0.477274250209323,0.376788473963134,0.390643607744076,0.174370184375079,0.188814930176957,0.0304049611989991,0.0356510778577291,0.164185137638871,0.186444134985119,-1.40925985528268,1
1,7,4.18880756947991,0.0043160259927411,0.258113128584142,1,0.533283279324589,0.307599716800378,0.438870429680954,0.483100595473279,0.408004445507848,0.448907060383635,0.350668762293826,0.351276544039786,0.122968580848684,0.123395210392535,0.179061086311769,0.216867268183493,-4.09106290190807,1
1,8,5.77665825100146,0.0003482561755536,0.258113128584142,1,0.0712790994550572,0.991644132991037,0.44349047147965,0.476260151311372,0.454204863494801,0.380502618764569,0.943600945033804,0.606255539402951,0.890382743468688,0.367545779056763,0.201435529059659,0.181218234787187,-6.60821490507527,1
1,9,3.57246228740264,0.0025456612552842,0.258113128584142,1,0.353618097635513,0.152506617370086,0.440667081497845,0.484651526467582,0.425970963676756,0.464416370326664,0.017438680461986,0.644567851968025,0.0003041075762552,0.415467715790673,0.187711381366261,0.225080102795352,-4.61900753018759,1
1,10,4.28173820049538,0.0296685349614412,0.258113128584142,1,0.927961930258763,0.204983754922387,0.434923643171613,0.484126755092059,0.368536580414431,0.459168656571434,0.349023245326258,0.615260116780966,0.121817225778073,0.378545011301328,0.160285272195852,0.222295831745908,-2.1633109163909,1
1,11,4.24780379559765,0.0048063849493854,0.258113128584142,1,0.414247972274214,0.931064402451903,0.440060782751458,0.476865948616764,0.487868764662718,0.466171849380786,0.23318694248544,0.879022760492066,0.0543761501457078,0.772681013463092,0.214691910457463,0.2223014811734,-3.98345273992719,2
1,12,4.89333620067044,0.0012655952875859,0.258113128584142,1,0.368953828327902,0.517073990709084,0.440513724190921,0.481005852734192,0.49239817905735,0.507570890555068,0.564226636520929,0.750864096754296,0.318351697359721,0.563796891794645,0.216908155641381,0.244144569034494,-5.31785537713847,2
1,13,5.32861381695232,0.0089144110108925,0.258113128584142,1,0.85089607825178,0.123120033805939,0.435694301691682,0.484945392303223,0.444203954064962,0.546966286245382,0.618029859092175,0.803755395934425,0.381960906729494,0.646022736493704,0.193537131575018,0.265248780259904,-3.36572878976997,2
1,14,3.79075540084148,0.0298600517230983,0.258113128584142,1,0.79760236241427,0.366497782409434,0.436227238850058,0.482511614817188,0.449533325648713,0.522628511385033,0.110118864086251,0.252760149406326,0.0121261642276462,0.0638876931279081,0.196098681418822,0.252174326977896,-2.156876447404,2
1,15,4.63661133053606,0.0011430937961592,0.258113128584142,1,0.350235588230334,0.270007284636261,0.440700906591897,0.48347651979492,0.494270003067106,0.53227756116235,0.563951754020258,0.220532471643649,0.318041580862525,0.048634571049257,0.217825238452853,0.257343702835701,-5.4196595288729,2
1,16,5.2667876530411,0.013591853388528,0.258113128584142,1,0.776399016660156,0.811470782434714,0.436439272307599,0.478061884816936,0.451653660224124,0.478131211382505,0.75525355800622,0.12170414940406,0.570407936881054,0.0148118999821657,0.19711939480328,0.228576308103325,-2.94392737398926,2
1,17,3.67505326318183,0.0006564706171169,0.258113128584142,1,0.0484701682151539,0.571689384871703,0.443718560792049,0.480459698792566,0.524446545068624,0.502109351138806,0.332850029529384,0.384364157833791,0.110789142157712,0.14773580582728,0.232706666190212,0.241243307609081,-5.97427531480801,2
1,18,5.20152243515114,0.0029356145528565,0.258113128584142,1,0.590270690103981,0.421603311400934,0.43830055557316,0.481960559527273,0.470266492879742,0.517117958485883,0.778569278157924,0.144196573247582,0.60617012089135,0.0207926517363454,0.206118065096632,0.249230460613457,-4.47648115265349,2
1,19,5.35959851529564,0.0004063761586883,0.258113128584142,1,0.158237674394374,0.780291638893319,0.442620885730256,0.478373676252349,0.513469794450702,0.481249125736644,0.872750700313904,0.585170057839773,0.76169378489841,0.342423996592203,0.227272455215503,0.230216913471868,-6.45387402078375,2
1,20,5.00806066049554,0.0779317123392769,0.258113128584142,1,0.937622240029232,0.799964284646473,0.434827040073908,0.478176949794818,0.435531337887217,0.479281861161329,0.103681983214326,0.780287819993918,0.0107499536432558,0.608849082030861,0.189380802512927,0.229181538462108,-1.19756501129947,2
