1610,1,10.910059928894,14,196,32,1,0,12,12,7,12
1656,1,19.4999809265137,5,25,30,0,2,9,7,7,12
1980,1,12.0399103164673,15,225,35,1,3,12,12,7,12
456,1,6.79999589920044,6,36,34,0,3,10,7,7,12
1568,1,20.1000576019287,7,49,31,1,2,12,12,14,14
2032,1,9.85905361175537,33,1089,54,0,0,11,14,7,12
1440,1,9.15204811096191,11,121,37,0,2,12,14,7,16
1020,1,10.9000377655029,35,1225,54,0,0,8,3,3,12
1458,1,17.3050003051758,24,576,48,0,2,4,7,7,12
1600,1,12.9250001907349,21,441,39,0,2,12,7,7,12
1969,1,24.2999534606934,15,225,33,0,1,12,12,3,12
1960,1,19.7000713348389,14,196,42,0,1,14,14,7,11
240,1,15.0000076293945,0,0,30,1,2,16,16,16,12
997,1,14.6000003814697,14,196,43,0,2,12,10,10,12
1848,1,24.6309146881104,6,36,43,0,1,17,7,7,10
1224,1,17.53102684021,9,81,35,0,3,12,16,10,11
1400,1,14.0999803543091,20,400,43,0,2,12,10,7,12
640,1,15.83899974823,6,36,39,0,5,12,12,12,12
2000,1,14.1000003814697,23,529,45,0,0,11,7,7,12
1324,1,10.2999610900879,9,81,35,0,4,10,12,7,12
2215,1,22.6549816131592,5,25,42,0,2,16,10,16,16
1680,1,8.09004783630371,11,121,30,0,0,12,12,10,12
1600,1,17.4790000915527,18,324,48,0,0,17,7,3,13
800,1,9.5600004196167,15,225,45,0,0,17,7,7,12
1955,1,8.27495288848877,4,16,31,1,1,12,12,7,12
660,1,27.3499851226807,21,441,43,0,2,17,16,14,17
525,1,16,31,961,59,0,0,16,3,7,12
1904,1,16.9999828338623,9,81,32,0,3,13,3,7,12
1516,1,15.1000556945801,7,49,31,1,0,17,12,12,17
346,1,15.6999835968018,7,49,42,0,0,10,12,12,12
1040,1,5.11895990371704,32,1024,50,0,0,10,7,7,11
732,1,16.7500114440918,11,121,59,0,0,17,3,3,16
1880,1,13.5999317169189,16,256,36,0,2,13,12,10,13
1680,1,17.1000480651855,14,196,51,0,1,8,7,14,12
2081,1,16.7340488433838,27,729,45,0,3,17,12,12,16
690,1,14.1969776153564,0,0,42,0,1,8,10,3,11
4210,1,10.3199872970581,17,289,46,0,0,16,3,3,12
2205,1,11.3841047286987,28,784,46,0,1,12,10,3,10
1952,1,14.5940780639648,24,576,51,0,0,12,7,7,14
1302,1,17.5004386901855,11,121,30,0,0,17,14,17,17
112,1,15.5099964141846,1,1,30,1,2,16,12,12,12
893,1,21.9999752044678,14,196,57,0,0,12,9,9,12
583,1,22.5,6,36,31,1,2,16,14,16,16
480,1,19.9939994812012,10,100,48,0,2,8,3,3,12
1900,1,14.1300001144409,6,36,30,0,3,12,12,7,12
576,1,5.00001287460327,4,16,34,0,2,12,12,7,12
2056,1,21.1548976898193,10,100,48,0,2,16,14,16,16
1984,1,7.14194583892822,22,484,45,0,0,11,10,10,12
2640,1,16.6500720977783,16,256,51,0,0,13,7,7,12
240,1,6.35199975967407,6,36,30,0,2,12,12,7,12
1173,1,27.3139476776123,12,144,46,0,1,12,7,7,12
3640,1,14.5000038146973,32,1024,58,0,0,12,7,3,12
340,1,16.2579898834229,15,225,37,0,8,10,12,7,12
500,1,9.5,17,289,52,0,0,11,7,7,8
1599,1,7.99995613098145,34,1156,52,0,0,4,7,3,10
1830,1,12.5000286102295,9,81,31,0,0,14,12,12,16
1920,1,14.0000324249268,37,1369,55,0,0,15,7,7,14
2052,1,20.8000736236572,10,100,34,0,0,17,17,17,17
2312,1,19.3851127624512,35,1225,55,0,0,16,17,7,14
196,1,12.3869915008545,6,36,39,0,2,12,12,7,12
2500,1,28.5,19,361,40,0,3,13,14,3,14
1980,1,15.0499086380005,10,100,43,0,4,12,12,12,12
1840,1,10.4999837875366,11,121,48,0,0,8,7,7,8
320,1,11.8100004196167,15,225,47,0,0,12,7,7,12
419,1,6.9500732421875,12,144,41,0,4,12,7,7,12
1880,1,12.4199714660645,12,144,36,0,0,12,12,12,8
72,1,17.4000034332275,14,196,46,0,2,17,12,16,17
120,1,15.4999961853027,11,121,34,0,0,8,12,7,12
